district,date,month,year,visitors,visitor_type
Khammam,2016-05-01,May,2016,433994,Domestic
Khammam,2016-06-01,June,2016,445862,Domestic
Khammam,2016-07-01,July,2016,414963,Domestic
Khammam,2016-08-01,August,2016,503654,Domestic
Khammam,2016-09-01,September,2016,368437,Domestic
Khammam,2016-10-01,October,2016,121575,Domestic
Khammam,2016-11-01,November,2016,110634,Domestic
Khammam,2016-12-01,December,2016,116403,Domestic
Komaram Bheem Asifabad,2016-01-01,January,2016,0,Domestic
Komaram Bheem Asifabad,2016-02-01,February,2016,0,Domestic
Komaram Bheem Asifabad,2016-03-01,March,2016,0,Domestic
Komaram Bheem Asifabad,2016-04-01,April,2016,0,Domestic
Komaram Bheem Asifabad,2016-05-01,May,2016,0,Domestic
Komaram Bheem Asifabad,2016-06-01,June,2016,0,Domestic
Komaram Bheem Asifabad,2016-07-01,July,2016,0,Domestic
Komaram Bheem Asifabad,2016-08-01,August,2016,0,Domestic
Komaram Bheem Asifabad,2016-09-01,September,2016,0,Domestic
Komaram Bheem Asifabad,2016-10-01,October,2016,0,Domestic
Komaram Bheem Asifabad,2016-11-01,November,2016,0,Domestic
Komaram Bheem Asifabad,2016-12-01,December,2016,0,Domestic
Mahabubabad,2016-01-01,January,2016,0,Domestic
Mahabubabad,2016-02-01,February,2016,0,Domestic
Mahabubabad,2016-03-01,March,2016,0,Domestic
Mahabubabad,2016-04-01,April,2016,0,Domestic
Mahabubabad,2016-05-01,May,2016,0,Domestic
Mahabubabad,2016-06-01,June,2016,0,Domestic
Mahabubabad,2016-07-01,July,2016,0,Domestic
Mahabubabad,2016-08-01,August,2016,0,Domestic
Mahabubabad,2016-09-01,September,2016,0,Domestic
Mahabubabad,2016-10-01,October,2016,13032,Domestic
Mahabubabad,2016-11-01,November,2016,114015,Domestic
Mahabubabad,2016-12-01,December,2016,12955,Domestic
Mahbubnagar,2016-01-01,January,2016,577071,Domestic
Mahbubnagar,2016-02-01,February,2016,1312068,Domestic
Mahbubnagar,2016-03-01,March,2016,1731983,Domestic
Mahbubnagar,2016-04-01,April,2016,622432,Domestic
Mahbubnagar,2016-05-01,May,2016,571898,Domestic
Mahbubnagar,2016-06-01,June,2016,561006,Domestic
Mahbubnagar,2016-07-01,July,2016,562322,Domestic
Mahbubnagar,2016-08-01,August,2016,1133105,Domestic
Mahbubnagar,2016-09-01,September,2016,567712,Domestic
Mahbubnagar,2016-10-01,October,2016,198592,Domestic
Mahbubnagar,2016-11-01,November,2016,256375,Domestic
Mahbubnagar,2016-12-01,December,2016,210202,Domestic
Mancherial,2016-01-01,January,2016,0,Domestic
Mancherial,2016-02-01,February,2016,0,Domestic
Mancherial,2016-03-01,March,2016,0,Domestic
Mancherial,2016-04-01,April,2016,0,Domestic
Mancherial,2016-05-01,May,2016,0,Domestic
Mancherial,2016-06-01,June,2016,0,Domestic
Mancherial,2016-07-01,July,2016,0,Domestic
Mancherial,2016-08-01,August,2016,0,Domestic
Mancherial,2016-09-01,September,2016,0,Domestic
Mancherial,2016-10-01,October,2016,3124,Domestic
Mancherial,2016-11-01,November,2016,2255,Domestic
Mancherial,2016-12-01,December,2016,2423,Domestic
Medak,2016-01-01,January,2016,92600,Domestic
Medak,2016-02-01,February,2016,215000,Domestic
Medak,2016-03-01,March,2016,1318000,Domestic
Medak,2016-04-01,April,2016,300000,Domestic
Medak,2016-05-01,May,2016,198000,Domestic
Medak,2016-06-01,June,2016,166700,Domestic
Medak,2016-07-01,July,2016,153300,Domestic
Medak,2016-08-01,August,2016,216100,Domestic
Medak,2016-09-01,September,2016,132600,Domestic
Medak,2016-10-01,October,2016,15600,Domestic
Medak,2016-11-01,November,2016,132300,Domestic
Medak,2016-12-01,December,2016,523000,Domestic
Medchal,2016-01-01,January,2016,0,Domestic
Medchal,2016-02-01,February,2016,0,Domestic
Medchal,2016-03-01,March,2016,0,Domestic
Medchal,2016-04-01,April,2016,0,Domestic
Medchal,2016-05-01,May,2016,0,Domestic
Medchal,2016-06-01,June,2016,0,Domestic
Medchal,2016-07-01,July,2016,0,Domestic
Medchal,2016-08-01,August,2016,0,Domestic
Medchal,2016-09-01,September,2016,0,Domestic
Medchal,2016-10-01,October,2016,0,Domestic
Medchal,2016-11-01,November,2016,0,Domestic
Medchal,2016-12-01,December,2016,0,Domestic
Nagarkurnool,2016-01-01,January,2016,0,Domestic
Nagarkurnool,2016-02-01,February,2016,0,Domestic
Nagarkurnool,2016-03-01,March,2016,0,Domestic
Nagarkurnool,2016-04-01,April,2016,0,Domestic
Nagarkurnool,2016-05-01,May,2016,0,Domestic
Nagarkurnool,2016-06-01,June,2016,0,Domestic
Nagarkurnool,2016-07-01,July,2016,0,Domestic
Nagarkurnool,2016-08-01,August,2016,0,Domestic
Nagarkurnool,2016-09-01,September,2016,0,Domestic
Nagarkurnool,2016-10-01,October,2016,201050,Domestic
Nagarkurnool,2016-11-01,November,2016,188786,Domestic
Nagarkurnool,2016-12-01,December,2016,198637,Domestic
Nalgonda,2016-01-01,January,2016,566515,Domestic
Nalgonda,2016-02-01,February,2016,539467,Domestic
Nalgonda,2016-03-01,March,2016,619462,Domestic
Nalgonda,2016-04-01,April,2016,601253,Domestic
Nalgonda,2016-05-01,May,2016,628872,Domestic
Nalgonda,2016-06-01,June,2016,551239,Domestic
Nalgonda,2016-07-01,July,2016,582820,Domestic
Nalgonda,2016-08-01,August,2016,988102,Domestic
